Dive #:,Date:,Location:,Dive Site:,,Time In:,Bottom Time:,Max Depth:,Visibility:,Water Temp(F):,Weight:
1,9/4/2021,"Washington County, MN",Sqaure Lake,,N/A,20,20,5,68,18
2,9/4/2021,"Washington County, MN",Sqaure Lake,,N/A,20,20,5,68,18
3,9/5/2021,"Washington County, MN",Sqaure Lake,,N/A,20,20,5,68,18
4,9/5/2021,"Washington County, MN",Sqaure Lake,,N/A,20,20,5,68,18
5,10/24/2021,"Washington County, MN",Sqaure Lake,,N/A,32,24,5,57,26
6,10/24/2021,"Washington County, MN",Sqaure Lake,,N/A,26,24,5,57,26
7,5/22/2022,"Washington County, MN",Sqaure Lake,,9:00 AM,15,15,6,57,32
8,5/22/2022,"Washington County, MN",Sqaure Lake,,11:00 AM,16,21,6,57,32
9,6/12/2022,"Washington County, MN",Sqaure Lake,,9:38 AM,19,17,10,64,20
10,7/9/2022,"Washington County, MN",Sqaure Lake,,10:22 AM,28,20,10,70,20
11,7/10/2022,"Washington County, MN",Sqaure Lake,,10:00 AM,20,19,10,74,16
12,7/10/2022,"Washington County, MN",Sqaure Lake,,12:42 PM,29,19,10,74,16
13,7/12/2022,"Washington County, MN",Sqaure Lake,,6:30 PM,24,23,10,66,16
14,7/12/2022,"Washington County, MN",Sqaure Lake,,7:26 PM,18,18,10,66,16
15,7/16/2022,"Washington County, MN",Sqaure Lake,,1:29 PM,26,23,10,67,16
16,7/16/2022,"Washington County, MN",Sqaure Lake,,2:31 PM,25,23,10,67,16
17,7/23/2022,"Washington County, MN",Sqaure Lake,,11:36 AM,22,21,10,72,28
18,7/30/2022,"Washington County, MN",Sqaure Lake,,9:21 AM,15,17,15,76,16
19,7/30/2022,"Washington County, MN",Sqaure Lake,,10:18 AM,20,20,15,74,16
20,7/31/2022,"Washington County, MN",Sqaure Lake,,10:25 AM,34,20,10,75,16
21,7/31/2022,"Washington County, MN",Sqaure Lake,,11:30 AM,19,20,10,73,16
22,7/31/2022,"Washington County, MN",Sqaure Lake,, 2:08 PM,20,19,10,75,16
23,7/31/2022,"Washington County, MN",Sqaure Lake,, 2:34 PM,14,22,10,70,16
24, 8/6/2022,"Washington County, MN",Sqaure Lake,,8:58 AM,19,20,10,78,16
25,8/9/2022,"Washington County, MN",Sqaure Lake,,6:42 PM,31,25,10,69,16
26,8/13/2022,"Washington County, MN",Sqaure Lake,,9:17 AM,35,21,10,75,16
27,8/13/2022,"Washington County, MN",Sqaure Lake,,10:30 AM,32,24,10,75,16
28,8/14/2022,"Washington County, MN",Sqaure Lake,,10:05 AM,17,19,10,74,16
29,8/14/2022,"Washington County, MN",Sqaure Lake,,10:25 AM,30,21,10,74,16
30,8/14/2022,"Washington County, MN",Sqaure Lake,,11:26 AM,29,19,10,74,16
31,9/6/2022,"Washington County, MN",Sqaure Lake,,6:24 PM,15,23,10,73,16
32,9/6/2022,"Washington County, MN",Sqaure Lake,,6:46 PM,31,20,10,73,16
33,9/10/2022,"Washington County, MN",Sqaure Lake,,9:37 AM,32,20,10,73,16
34,9/10/2022,"Washington County, MN",Sqaure Lake,,11:07 AM,23,23,10,73,16
35,9/24/2022,"Washington County, MN",Sqaure Lake,,9:29 AM,29,20,10,68,16
36,9/24/2022,"Washington County, MN",Sqaure Lake,,10:48 AM,36,25,10,68,16
37,1/21/2023,"Washington County, MN",Sqaure Lake,,1:30 PM,15,20,20,33,32
38,1/21/2023,"Washington County, MN",Sqaure Lake,,1:45 PM,15,20,20,33,32
39,1/21/2023,"Washington County, MN",Sqaure Lake,,2:00 PM,15,20,20,33,32
40,8/8/2023,"Washington County, MN",Sqaure Lake,,12:10 PM,13,21,10,65,12
41,8/8/2023,"Washington County, MN",Sqaure Lake,,12:29 PM,9,22,10,61,12
42,8/8/2023,"Washington County, MN",Sqaure Lake,,1:10 PM,18,22,10,67,12
43,8/8/2023,"Washington County, MN",Sqaure Lake,,1:28 PM,10,19,10,76,12
44,8/26/2023,"Washington County, MN",Sqaure Lake,,9:19 AM,14,20,7,74,12
45,8/26/2023,"Washington County, MN",Sqaure Lake,,9:37 AM,6,7,7,78,12
46,8/26/2023,"Washington County, MN",Sqaure Lake,,9:48 AM,2,7,7,79,12
47,8/26/2023,"Washington County, MN",Sqaure Lake,,9:55 AM,10,19,7,77,12
48,8/26/2023,"Washington County, MN",Sqaure Lake,,10:38 AM,33,11,7,77,12
49,9/2/2023,"Washington County, MN",Sqaure Lake,,10:52 AM,10,14,7,73,12
50,9/2/2023,"Washington County, MN",Sqaure Lake,,11:08 AM,2,16,7,74,12
51,9/2/2023,"Washington County, MN",Sqaure Lake,,11:15 AM,5,20,7,73,12
52,9/9/2023,"Washington County, MN",Sqaure Lake,,7:46 PM,10,17,4,63,12
53,9/9/2023,"Washington County, MN",Sqaure Lake,,8:08 PM,5,21,4,68,12
54,9/9/2023,"Washington County, MN",Sqaure Lake,,8:27 PM,6,19,4,68,12
55,9/9/2023,"Washington County, MN",Sqaure Lake,,8:40 PM,8,20,4,68,12
56,6/1/2024,"Washington County, MN",Sqaure Lake,,10:00 AM,15,15,6,60,16
57,6/1/2024,"Washington County, MN",Sqaure Lake,,11:00 AM,20,20,6,60,16
58,8/4/2024,"Washington County, MN",Sqaure Lake,,9:40 AM,40,21,7,76,12
59,8/4/2024,"Washington County, MN",Sqaure Lake,,11:26 AM,20,20,6,77,12
60,8/4/2024,"Washington County, MN",Sqaure Lake,,12:03 PM,20,23,10,73,12
61,9/14/2024,"Washington County, MN",Sqaure Lake,,9:54 AM,12,8,7,73,14
62,9/14/2024,"Washington County, MN",Sqaure Lake,,10:42 AM,13,17,8,72,14
63,9/14/2024,"Washington County, MN",Sqaure Lake,,11:00 AM,32,19,8,72,14
64,9/21/2024,"Washington County, MN",Sqaure Lake,,11:24 AM,37,20,6,73,16
65,9/21/2024,"Washington County, MN",Sqaure Lake,,2:10 PM,22,25,7,72,16
66,9/21/2024,"Washington County, MN",Sqaure Lake,,2:37 PM,15,20,7,73,16
